Model,MAE,MSE,RMSE,R2,CV R2
Gradient Boosting Regressor,0.0007393312929029544,1.9050912138704044e-05,0.004364735059394103,0.9985109389242205,0.9989043688239756
Random Forest Regressor,0.0010727444444444338,3.980899852160502e-05,0.00630943725871056,0.99688844136529,0.9973078084312397
Ridge Regression,0.0053879490506464475,0.00028248971718070325,0.016807430415762645,0.9779199841404358,0.9683446791739385
Linear Regression,0.005389948339520236,0.0002884121606570165,0.016982701806750787,0.9774570729690507,0.967434709027405
